Iteration	Posterior	Likelihood	Prior	r1	r2
19400	-99.21896	-98.45822	-0.7607363	0.2132309	0.8602844
19600	-98.58045	-98.51662	-0.063824	0.1359759	0.5890833
19800	-98.21014	-98.96705	0.7569047	0.05338026	0.2613146
20000	-98.6085	-98.76695	0.1584448	0.1351672	0.4787576
20200	-97.97239	-98.46041	0.4880173	0.08752404	0.3616145
20400	-99.12319	-98.54941	-0.5737817	0.2054131	0.7746249
20600	-97.22343	-98.47748	1.254059	0.0134219	0.05269597
20800	-100.3152	-98.8675	-1.447731	0.3170364	1.099976
21000	-98.84938	-98.53492	-0.3144583	0.1773643	0.6730121
21200	-98.45306	-98.78305	0.3299862	0.1166025	0.4115516
21400	-99.19745	-99.12087	-0.07657994	0.1213565	0.6100806
21600	-99.88555	-99.68762	-0.1979327	0.1933687	0.5987448
21800	-103.7457	-99.5514	-4.194337	0.439621	2.350695
22000	-101.5565	-98.91392	-2.642606	0.3445648	1.669885
22200	-99.07179	-98.57728	-0.4945166	0.1987743	0.7416312
22400	-102.2367	-101.0746	-1.162148	0.3403409	0.9338802
22600	-98.8688	-98.5174	-0.3514002	0.1628876	0.7059597
22800	-102.4155	-100.584	-1.831566	0.4179985	1.190932
23000	-101.1694	-98.48548	-2.683952	0.4152553	1.619868
23200	-100.9253	-98.54501	-2.380248	0.3941586	1.489113
23400	-97.78038	-98.48979	0.7094106	0.0692272	0.2692147
23600	-99.70914	-98.65251	-1.056626	0.2197128	1.001748
23800	-98.51582	-98.87915	0.3633325	0.08798768	0.4234933
24000	-102.3769	-99.65826	-2.718644	0.4998331	1.552636
24200	-99.22501	-98.6225	-0.602507	0.1802178	0.8141828
24400	-98.02746	-98.45843	0.4309689	0.09493077	0.382732
24600	-98.05795	-98.48167	0.4237207	0.09797447	0.3833124
24800	-98.62784	-98.7592	0.1313573	0.1379633	0.4895052
25000	-99.01871	-100.2355	1.216765	0.0215425	0.06322213
25200	-98.13571	-98.50753	0.371821	0.1046612	0.4025755
25400	-106.8808	-101.618	-5.262812	0.9125913	2.411962
25600	-98.05454	-98.65165	0.5971029	0.08495858	0.3096372
25800	-102.6564	-99.22594	-3.430416	0.5633352	1.84502
26000	-98.06838	-98.46644	0.3980611	0.0993838	0.3947328
26200	-99.77612	-98.46	-1.316121	0.2635053	1.087702
26400	-97.16875	-98.47506	1.306316	0.007672187	0.03231722
26600	-99.84008	-98.48232	-1.357763	0.2794152	1.092614
26800	-101.3098	-100.3988	-0.910998	0.2950307	0.8536154
27000	-97.85048	-98.50063	0.6501492	0.07570657	0.292366
27200	-101.2129	-98.79561	-2.41727	0.3319955	1.569787
27400	-99.39204	-99.07441	-0.3176217	0.1959155	0.6560425
27600	-97.80881	-98.56859	0.759784	0.06604728	0.2472079
27800	-97.52797	-98.50063	0.9726615	0.03907187	0.1677446
28000	-98.03178	-98.45898	0.4272048	0.09543464	0.3841101
28200	-98.34006	-98.60908	0.2690262	0.1016046	0.4570295
28400	-98.84463	-98.70272	-0.1419097	0.1662639	0.5978381
28600	-98.17761	-98.45698	0.2793728	0.1091473	0.4443135
28800	-99.02728	-98.62993	-0.3973541	0.1910693	0.700755
29000	-98.92513	-99.24856	0.3234231	0.0867204	0.4447152
29200	-100.6367	-98.89731	-1.73935	0.3511838	1.211638
29400	-98.46322	-98.54842	0.08519709	0.1205268	0.5300218
29600	-98.77232	-98.54267	-0.2296543	0.1689721	0.6390022
